,n,p,k,sigma,autodiff_accuracy,lasso_accuracy,autodiff_time,lasso_time,best_lambda,lasso_1_accuracy,lasso_10_accuracy
402,100,4,1,0.4472135954999579,1.0,1.0,3.4056403636932373,0.18803691864013672,1.0,1.0,1.0
403,100,11,1,0.4472135954999579,1.0,1.0,79.56222152709961,0.4608769416809082,1.0,1.0,1.0
404,100,1,5,0.4472135954999579,0.3333333333333333,0.16666666666666666,0.304368257522583,0.8706645965576172,1.0,0.16666666666666666,0.16666666666666666
405,100,19,5,0.4472135954999579,1.0,1.0,1151.5789732933044,4.579128265380859,3.1622776601683795,0.0,0.8333333333333334
406,100,2,5,0.4472135954999579,0.6666666666666666,0.8333333333333334,3.3082988262176514,0.2853872776031494,1.0,0.8333333333333334,0.0
407,100,17,1,0.4472135954999579,1.0,1.0,289.97440218925476,2.1427841186523438,3.1622776601683795,0.0,1.0
408,100,18,5,0.4472135954999579,1.0,1.0,914.8481833934784,2.914952278137207,3.1622776601683795,0.16666666666666666,0.8333333333333334
409,100,19,1,0.4472135954999579,1.0,1.0,397.77399802207947,2.4610016345977783,3.1622776601683795,0.0,1.0
410,100,7,5,0.4472135954999579,1.0,0.8333333333333334,62.44786834716797,3.7663352489471436,3.1622776601683795,0.16666666666666666,0.5
411,100,1,1,0.4472135954999579,0.0,0.0,0.16298985481262207,0.1706218719482422,1.0,0.0,0.0
412,100,12,5,0.4472135954999579,1.0,1.0,266.95335149765015,4.396862983703613,3.1622776601683795,0.16666666666666666,0.8333333333333334
413,100,6,5,0.4472135954999579,1.0,0.8333333333333334,38.064369916915894,2.4081177711486816,3.1622776601683795,0.16666666666666666,0.6666666666666666
414,100,8,5,0.4472135954999579,0.8333333333333334,0.8333333333333334,116.66422724723816,2.400374412536621,3.1622776601683795,0.16666666666666666,0.6666666666666666
415,100,7,1,0.4472135954999579,1.0,1.0,21.07939577102661,0.23014545440673828,1.0,1.0,0.0
416,100,20,5,0.4472135954999579,1.0,1.0,1234.0549762248993,2.9184391498565674,3.1622776601683795,0.0,1.0
417,100,3,5,0.4472135954999579,0.6666666666666666,0.6666666666666666,10.735164403915405,0.8322763442993164,1.0,0.6666666666666666,0.16666666666666666
418,100,2,1,0.4472135954999579,1.0,1.0,0.6785497665405273,0.09337592124938965,1.0,1.0,0.0
419,100,18,1,0.4472135954999579,1.0,1.0,305.2163300514221,2.4886350631713867,3.1622776601683795,0.0,1.0
420,100,6,1,0.4472135954999579,1.0,1.0,12.233009099960327,0.22491073608398438,1.0,1.0,1.0
421,100,20,1,0.4472135954999579,1.0,1.0,493.9113063812256,2.2360801696777344,3.1622776601683795,0.0,1.0
422,100,14,5,0.4472135954999579,1.0,1.0,409.10169792175293,3.358522415161133,3.1622776601683795,0.16666666666666666,0.6666666666666666
423,100,5,5,0.4472135954999579,0.8333333333333334,0.6666666666666666,31.021241188049316,3.736147880554199,3.1622776601683795,0.3333333333333333,0.16666666666666666
424,100,13,5,0.4472135954999579,1.0,1.0,451.07015109062195,3.5749690532684326,3.1622776601683795,0.16666666666666666,0.8333333333333334
425,100,12,1,0.4472135954999579,1.0,1.0,113.51273202896118,4.103835821151733,3.1622776601683795,0.0,1.0
426,100,10,5,0.4472135954999579,1.0,0.8333333333333334,228.50009632110596,4.250273942947388,3.1622776601683795,0.16666666666666666,0.5
427,100,3,1,0.4472135954999579,1.0,1.0,1.7658634185791016,0.23852825164794922,1.0,1.0,0.0
428,100,4,5,0.4472135954999579,0.6666666666666666,0.6666666666666666,12.898342370986938,0.5836911201477051,1.0,0.6666666666666666,0.16666666666666666
429,100,8,1,0.4472135954999579,1.0,1.0,31.759337425231934,0.2781844139099121,1.0,1.0,1.0
430,100,16,5,0.4472135954999579,1.0,1.0,615.817013502121,4.193174839019775,3.1622776601683795,0.0,0.8333333333333334
431,100,13,1,0.4472135954999579,1.0,1.0,142.06079936027527,4.0868682861328125,3.1622776601683795,0.0,1.0
432,100,9,5,0.4472135954999579,1.0,0.8333333333333334,135.03949856758118,2.4099514484405518,3.1622776601683795,0.16666666666666666,0.3333333333333333
433,100,11,5,0.4472135954999579,1.0,0.8333333333333334,216.27693819999695,3.054840087890625,10.0,0.16666666666666666,0.8333333333333334
434,100,15,5,0.4472135954999579,1.0,1.0,568.7037408351898,3.298020839691162,3.1622776601683795,0.0,0.6666666666666666
435,100,10,1,0.4472135954999579,1.0,1.0,58.253111124038696,2.35036301612854,3.1622776601683795,0.0,1.0
436,100,14,1,0.4472135954999579,1.0,1.0,165.7418019771576,2.382106065750122,3.1622776601683795,0.0,1.0
437,100,16,1,0.4472135954999579,1.0,1.0,237.507577419281,0.5175094604492188,1.0,1.0,1.0
438,100,9,1,0.4472135954999579,1.0,1.0,41.49986457824707,0.26555347442626953,1.0,1.0,1.0
439,100,17,5,0.4472135954999579,1.0,1.0,832.2775683403015,2.7193603515625,3.1622776601683795,0.16666666666666666,0.6666666666666666
440,100,5,1,0.4472135954999579,1.0,1.0,10.34057331085205,0.3795933723449707,1.0,1.0,1.0
441,100,15,1,0.4472135954999579,1.0,1.0,263.70549511909485,0.8816847801208496,1.0,1.0,1.0
442,100,4,1,0.4472135954999579,1.0,1.0,8.283640384674072,0.19462299346923828,1.0,1.0,1.0
443,100,11,1,0.4472135954999579,1.0,1.0,109.63517189025879,2.027250051498413,3.1622776601683795,0.0,1.0
444,100,1,5,0.4472135954999579,0.5,0.3333333333333333,0.34183812141418457,1.4083809852600098,1.0,0.3333333333333333,0.16666666666666666
445,100,19,5,0.4472135954999579,1.0,1.0,1412.4178199768066,5.53947377204895,10.0,0.16666666666666666,1.0
446,100,2,5,0.4472135954999579,0.5,0.3333333333333333,2.7185471057891846,0.9276564121246338,1.0,0.3333333333333333,0.16666666666666666
447,100,17,1,0.4472135954999579,1.0,1.0,291.52389216423035,2.251791000366211,3.1622776601683795,0.0,1.0
448,100,18,5,0.4472135954999579,1.0,1.0,1051.8097400665283,2.6119799613952637,3.1622776601683795,0.0,0.8333333333333334
449,100,19,1,0.4472135954999579,1.0,1.0,323.7555236816406,2.271920680999756,3.1622776601683795,0.0,1.0
450,100,7,5,0.4472135954999579,1.0,0.8333333333333334,67.8698468208313,2.289841651916504,3.1622776601683795,0.16666666666666666,0.5
451,100,1,1,0.4472135954999579,0.0,0.0,0.1037750244140625,0.200486421585083,1.0,0.0,0.0
452,100,12,5,0.4472135954999579,1.0,1.0,276.4322714805603,2.745814085006714,3.1622776601683795,0.0,0.8333333333333334
453,100,6,5,0.4472135954999579,0.8333333333333334,0.6666666666666666,28.378735065460205,2.5321242809295654,3.1622776601683795,0.16666666666666666,0.3333333333333333
454,100,8,5,0.4472135954999579,1.0,1.0,96.28949356079102,2.5518364906311035,3.1622776601683795,0.0,0.6666666666666666
455,100,7,1,0.4472135954999579,1.0,1.0,22.346794366836548,0.2959311008453369,1.0,1.0,1.0
456,100,20,5,0.4472135954999579,1.0,1.0,1289.3731644153595,3.2282748222351074,3.1622776601683795,0.0,0.8333333333333334
457,100,3,5,0.4472135954999579,0.8333333333333334,0.8333333333333334,5.39157509803772,0.4755856990814209,1.0,0.8333333333333334,0.0
458,100,2,1,0.4472135954999579,1.0,1.0,0.9346709251403809,0.18276238441467285,1.0,1.0,1.0
459,100,18,1,0.4472135954999579,1.0,1.0,340.1082081794739,2.7839765548706055,3.1622776601683795,0.0,1.0
460,100,6,1,0.4472135954999579,1.0,1.0,17.36391544342041,0.4145040512084961,1.0,1.0,1.0
461,100,20,1,0.4472135954999579,1.0,1.0,484.19743609428406,3.0850961208343506,3.1622776601683795,0.0,1.0
462,100,14,5,0.4472135954999579,1.0,1.0,430.87577843666077,2.5531206130981445,3.1622776601683795,0.0,0.8333333333333334
463,100,5,5,0.4472135954999579,1.0,1.0,23.170692682266235,3.2930076122283936,3.1622776601683795,0.0,0.5
464,100,13,5,0.4472135954999579,1.0,0.8333333333333334,325.68568539619446,3.803908109664917,10.0,0.16666666666666666,0.8333333333333334
465,100,12,1,0.4472135954999579,1.0,1.0,88.93589687347412,0.476701021194458,1.0,1.0,1.0
466,100,10,5,0.4472135954999579,0.6666666666666666,0.6666666666666666,169.89971780776978,3.7033627033233643,3.1622776601683795,0.16666666666666666,0.5
467,100,3,1,0.4472135954999579,1.0,1.0,1.9795913696289062,0.12812137603759766,1.0,1.0,0.0
468,100,4,5,0.4472135954999579,0.8333333333333334,0.8333333333333334,10.10050630569458,0.546165943145752,1.0,0.8333333333333334,0.16666666666666666
469,100,8,1,0.4472135954999579,1.0,1.0,27.193937301635742,0.2772510051727295,1.0,1.0,1.0
470,100,16,5,0.4472135954999579,1.0,1.0,687.9502384662628,2.6191470623016357,3.1622776601683795,0.16666666666666666,0.8333333333333334
471,100,13,1,0.4472135954999579,1.0,1.0,162.37350249290466,0.7716548442840576,1.0,1.0,1.0
472,100,9,5,0.4472135954999579,0.8333333333333334,0.8333333333333334,154.2415955066681,2.595503807067871,3.1622776601683795,0.0,0.5
473,100,11,5,0.4472135954999579,0.8333333333333334,0.8333333333333334,304.0314335823059,4.9185895919799805,3.1622776601683795,0.0,0.8333333333333334
474,100,15,5,0.4472135954999579,1.0,1.0,630.0630850791931,3.8838014602661133,3.1622776601683795,0.0,0.6666666666666666
475,100,10,1,0.4472135954999579,1.0,1.0,64.55507206916809,0.3471651077270508,1.0,1.0,1.0
476,100,14,1,0.4472135954999579,1.0,1.0,150.76647806167603,0.4668765068054199,1.0,1.0,1.0
477,100,16,1,0.4472135954999579,1.0,1.0,246.4184775352478,2.2862915992736816,3.1622776601683795,0.0,1.0
478,100,9,1,0.4472135954999579,1.0,1.0,39.01228356361389,0.337893009185791,1.0,1.0,0.0
479,100,17,5,0.4472135954999579,1.0,1.0,718.0357568264008,4.684321641921997,3.1622776601683795,0.16666666666666666,0.8333333333333334
480,100,5,1,0.4472135954999579,1.0,1.0,11.67853045463562,0.610358715057373,1.0,1.0,0.0
481,100,15,1,0.4472135954999579,1.0,1.0,239.9619607925415,2.381680965423584,3.1622776601683795,0.0,1.0
482,100,4,1,0.4472135954999579,1.0,1.0,5.702824592590332,0.49410009384155273,1.0,1.0,1.0
483,100,11,1,0.4472135954999579,1.0,1.0,96.72017168998718,0.30008697509765625,1.0,1.0,1.0
484,100,1,5,0.4472135954999579,0.3333333333333333,0.6666666666666666,0.2924327850341797,0.9295427799224854,1.0,0.6666666666666666,0.0
485,100,19,5,0.4472135954999579,1.0,1.0,1728.8935897350311,6.76045560836792,10.0,0.16666666666666666,1.0
486,100,2,5,0.4472135954999579,0.5,0.3333333333333333,2.392451286315918,0.38962674140930176,1.0,0.3333333333333333,0.16666666666666666
487,100,17,1,0.4472135954999579,1.0,1.0,377.3837139606476,4.567572116851807,3.1622776601683795,0.0,1.0
488,100,18,5,0.4472135954999579,1.0,1.0,987.5385963916779,2.9612181186676025,3.1622776601683795,0.0,0.8333333333333334
489,100,19,1,0.4472135954999579,1.0,1.0,311.3542904853821,2.7320313453674316,3.1622776601683795,0.0,1.0
490,100,7,5,0.4472135954999579,0.8333333333333334,1.0,99.26784348487854,3.0558714866638184,3.1622776601683795,0.16666666666666666,0.5
491,100,1,1,0.4472135954999579,0.0,0.0,0.5637001991271973,0.25798892974853516,1.0,0.0,0.0
492,100,12,5,0.4472135954999579,1.0,1.0,376.0066442489624,4.5276124477386475,3.1622776601683795,0.16666666666666666,0.6666666666666666
493,100,6,5,0.4472135954999579,1.0,0.8333333333333334,48.33620738983154,4.917526006698608,3.1622776601683795,0.16666666666666666,0.6666666666666666
494,100,8,5,0.4472135954999579,0.8333333333333334,1.0,148.57120990753174,4.093375205993652,3.1622776601683795,0.16666666666666666,0.6666666666666666
495,100,7,1,0.4472135954999579,1.0,1.0,28.68758797645569,0.7059733867645264,1.0,1.0,0.0
496,100,20,5,0.4472135954999579,1.0,1.0,2248.1879663467407,2.49700927734375,3.1622776601683795,0.0,0.8333333333333334
497,100,3,5,0.4472135954999579,1.0,1.0,7.16073751449585,0.5139408111572266,1.0,1.0,0.16666666666666666
498,100,2,1,0.4472135954999579,1.0,1.0,0.859560489654541,0.293628454208374,1.0,1.0,1.0
499,100,18,1,0.4472135954999579,1.0,1.0,307.31768345832825,5.08824610710144,3.1622776601683795,0.0,1.0
500,100,6,1,0.4472135954999579,1.0,1.0,11.186464309692383,0.20429420471191406,1.0,1.0,0.0
501,100,20,1,0.4472135954999579,1.0,1.0,463.7587773799896,3.275897264480591,3.1622776601683795,0.0,1.0
502,100,14,5,0.4472135954999579,1.0,1.0,549.1294040679932,2.7082595825195312,3.1622776601683795,0.0,0.8333333333333334
503,100,5,5,0.4472135954999579,0.8333333333333334,0.8333333333333334,16.06636643409729,2.443356513977051,3.1622776601683795,0.16666666666666666,0.3333333333333333
504,100,13,5,0.4472135954999579,1.0,0.6666666666666666,459.7771053314209,2.7598469257354736,3.1622776601683795,0.16666666666666666,0.5
505,100,12,1,0.4472135954999579,1.0,1.0,92.41047358512878,2.833763360977173,3.1622776601683795,0.0,1.0
506,100,10,5,0.4472135954999579,1.0,0.8333333333333334,200.87561964988708,2.8909285068511963,3.1622776601683795,0.0,0.6666666666666666
507,100,3,1,0.4472135954999579,1.0,1.0,2.075535535812378,0.14222478866577148,1.0,1.0,0.0
508,100,4,5,0.4472135954999579,0.5,0.5,11.181781768798828,3.555694103240967,3.1622776601683795,0.16666666666666666,0.3333333333333333
509,100,8,1,0.4472135954999579,1.0,1.0,33.747063398361206,0.38837480545043945,1.0,1.0,1.0
510,100,16,5,0.4472135954999579,1.0,0.8333333333333334,700.0528509616852,2.992455244064331,3.1622776601683795,0.3333333333333333,0.8333333333333334
511,100,13,1,0.4472135954999579,1.0,1.0,129.7454891204834,3.5956459045410156,3.1622776601683795,0.0,1.0
512,100,9,5,0.4472135954999579,1.0,1.0,151.62183713912964,4.031055212020874,3.1622776601683795,0.0,0.6666666666666666
513,100,11,5,0.4472135954999579,1.0,1.0,260.28006410598755,3.1303985118865967,3.1622776601683795,0.0,0.6666666666666666
514,100,15,5,0.4472135954999579,0.8333333333333334,1.0,566.7516677379608,3.1490888595581055,3.1622776601683795,0.16666666666666666,0.6666666666666666
515,100,10,1,0.4472135954999579,1.0,1.0,62.41303825378418,0.3638942241668701,1.0,1.0,1.0
516,100,14,1,0.4472135954999579,1.0,1.0,168.2184944152832,2.3761067390441895,3.1622776601683795,0.0,1.0
517,100,16,1,0.4472135954999579,1.0,1.0,244.01126074790955,3.8385236263275146,3.1622776601683795,0.0,1.0
518,100,9,1,0.4472135954999579,1.0,1.0,45.40453314781189,0.5554015636444092,1.0,1.0,1.0
519,100,17,5,0.4472135954999579,1.0,1.0,1001.5782186985016,2.661675453186035,3.1622776601683795,0.16666666666666666,0.8333333333333334
520,100,5,1,0.4472135954999579,1.0,1.0,8.30931305885315,0.25016236305236816,1.0,1.0,1.0
521,100,15,1,0.4472135954999579,1.0,1.0,202.72184300422668,0.39490365982055664,1.0,1.0,1.0
522,100,4,1,0.4472135954999579,0.0,0.0,4.144526720046997,0.2025141716003418,1.0,0.0,0.0
523,100,11,1,0.4472135954999579,1.0,1.0,78.87080693244934,2.569005012512207,3.1622776601683795,0.0,1.0
524,100,1,5,0.4472135954999579,0.3333333333333333,0.5,0.2614591121673584,0.4514734745025635,1.0,0.5,0.0
525,100,19,5,0.4472135954999579,1.0,1.0,1067.0230734348297,2.4522759914398193,3.1622776601683795,0.16666666666666666,0.8333333333333334
526,100,2,5,0.4472135954999579,1.0,0.8333333333333334,2.701822519302368,0.39503931999206543,1.0,0.8333333333333334,0.3333333333333333
527,100,17,1,0.4472135954999579,1.0,1.0,284.3042378425598,2.239467144012451,3.1622776601683795,0.0,1.0
528,100,18,5,0.4472135954999579,1.0,1.0,990.8462855815887,2.567700147628784,3.1622776601683795,0.16666666666666666,0.6666666666666666
529,100,19,1,0.4472135954999579,1.0,1.0,325.95712876319885,2.2890524864196777,3.1622776601683795,0.0,1.0
530,100,7,5,0.4472135954999579,1.0,0.8333333333333334,55.535276889801025,2.290987014770508,3.1622776601683795,0.16666666666666666,0.5
531,100,1,1,0.4472135954999579,0.0,0.0,0.14525938034057617,0.2573831081390381,1.0,0.0,0.0
532,100,12,5,0.4472135954999579,1.0,1.0,273.2537832260132,3.6745975017547607,3.1622776601683795,0.16666666666666666,0.8333333333333334
533,100,6,5,0.4472135954999579,0.8333333333333334,0.6666666666666666,47.19293689727783,0.5570857524871826,1.0,0.6666666666666666,0.5
534,100,8,5,0.4472135954999579,1.0,0.8333333333333334,81.36167645454407,2.1752049922943115,3.1622776601683795,0.0,0.5
535,100,7,1,0.4472135954999579,1.0,1.0,22.467464685440063,0.2526571750640869,1.0,1.0,1.0
536,100,20,5,0.4472135954999579,1.0,0.8333333333333334,1103.2673029899597,2.9361772537231445,10.0,0.0,0.8333333333333334
537,100,3,5,0.4472135954999579,0.8333333333333334,0.6666666666666666,4.5876336097717285,0.9472801685333252,1.0,0.6666666666666666,0.16666666666666666
538,100,2,1,0.4472135954999579,1.0,1.0,0.764275312423706,0.21144866943359375,1.0,1.0,0.0
539,100,18,1,0.4472135954999579,1.0,1.0,334.508287191391,2.137343645095825,3.1622776601683795,0.0,1.0
540,100,6,1,0.4472135954999579,0.0,0.0,16.068882703781128,0.27941036224365234,1.0,0.0,0.0
541,100,20,1,0.4472135954999579,1.0,1.0,584.2056481838226,4.427012920379639,3.1622776601683795,0.0,1.0
542,100,14,5,0.4472135954999579,1.0,1.0,531.0828237533569,2.5474205017089844,3.1622776601683795,0.0,0.8333333333333334
543,100,5,5,0.4472135954999579,0.5,0.6666666666666666,15.9730863571167,3.42655348777771,3.1622776601683795,0.16666666666666666,0.0
544,100,13,5,0.4472135954999579,1.0,1.0,509.4729104042053,5.199578523635864,3.1622776601683795,0.16666666666666666,0.6666666666666666
545,100,12,1,0.4472135954999579,1.0,1.0,95.12661933898926,3.0819270610809326,3.1622776601683795,0.0,1.0
546,100,10,5,0.4472135954999579,1.0,1.0,164.0113091468811,5.225955486297607,3.1622776601683795,0.3333333333333333,0.6666666666666666
547,100,3,1,0.4472135954999579,0.0,0.0,2.062962055206299,0.2030019760131836,1.0,0.0,0.0
548,100,4,5,0.4472135954999579,0.8333333333333334,0.8333333333333334,15.475911140441895,0.5782270431518555,1.0,0.8333333333333334,0.16666666666666666
549,100,8,1,0.4472135954999579,1.0,1.0,31.663617372512817,0.6058621406555176,1.0,1.0,1.0
550,100,16,5,0.4472135954999579,1.0,1.0,632.7440176010132,3.3737430572509766,3.1622776601683795,0.16666666666666666,0.8333333333333334
551,100,13,1,0.4472135954999579,1.0,1.0,119.53712368011475,2.5673141479492188,3.1622776601683795,0.0,1.0
552,100,9,5,0.4472135954999579,1.0,1.0,146.0370831489563,2.4157800674438477,3.1622776601683795,0.3333333333333333,0.5
553,100,11,5,0.4472135954999579,1.0,1.0,239.21312427520752,2.9262795448303223,3.1622776601683795,0.0,0.8333333333333334
554,100,15,5,0.4472135954999579,1.0,1.0,539.9241976737976,4.78543758392334,3.1622776601683795,0.16666666666666666,0.6666666666666666
555,100,10,1,0.4472135954999579,1.0,1.0,61.761762380599976,2.3567938804626465,3.1622776601683795,0.0,1.0
556,100,14,1,0.4472135954999579,1.0,1.0,178.49585223197937,2.2729618549346924,3.1622776601683795,0.0,1.0
557,100,16,1,0.4472135954999579,1.0,1.0,225.82352948188782,2.1874144077301025,3.1622776601683795,0.0,1.0
558,100,9,1,0.4472135954999579,1.0,1.0,38.94109034538269,0.362612247467041,1.0,1.0,1.0
559,100,17,5,0.4472135954999579,1.0,1.0,677.2588136196136,3.251560688018799,3.1622776601683795,0.0,0.8333333333333334
560,100,5,1,0.4472135954999579,1.0,1.0,6.841102123260498,0.22827935218811035,1.0,1.0,1.0
561,100,15,1,0.4472135954999579,1.0,1.0,207.6396632194519,0.8750452995300293,1.0,1.0,1.0
562,100,4,1,0.4472135954999579,1.0,1.0,3.7316172122955322,0.11989760398864746,1.0,1.0,0.0
563,100,11,1,0.4472135954999579,1.0,1.0,72.36984252929688,2.1370444297790527,3.1622776601683795,0.0,1.0
564,100,1,5,0.4472135954999579,0.5,0.3333333333333333,0.3631467819213867,0.5393810272216797,1.0,0.3333333333333333,0.0
565,100,19,5,0.4472135954999579,1.0,1.0,1088.8670868873596,4.664161443710327,3.1622776601683795,0.0,0.8333333333333334
566,100,2,5,0.4472135954999579,0.5,0.3333333333333333,3.6502344608306885,2.646406650543213,3.1622776601683795,0.0,0.0
567,100,17,1,0.4472135954999579,1.0,1.0,308.98112320899963,4.526582479476929,3.1622776601683795,0.0,1.0
568,100,18,5,0.4472135954999579,1.0,1.0,918.8558585643768,2.708348274230957,3.1622776601683795,0.0,0.8333333333333334
569,100,19,1,0.4472135954999579,1.0,1.0,312.5527138710022,2.321894884109497,3.1622776601683795,0.0,1.0
570,100,7,5,0.4472135954999579,0.8333333333333334,0.8333333333333334,98.42558264732361,0.7568981647491455,1.0,0.8333333333333334,0.5
571,100,1,1,0.4472135954999579,1.0,1.0,0.10034894943237305,0.3544793128967285,1.0,1.0,0.0
572,100,12,5,0.4472135954999579,1.0,1.0,267.90364170074463,3.645515203475952,3.1622776601683795,0.16666666666666666,0.6666666666666666
573,100,6,5,0.4472135954999579,0.6666666666666666,0.6666666666666666,44.0100371837616,0.5399036407470703,1.0,0.6666666666666666,0.3333333333333333
574,100,8,5,0.4472135954999579,1.0,0.8333333333333334,106.20718955993652,3.8440089225769043,3.1622776601683795,0.0,0.8333333333333334
575,100,7,1,0.4472135954999579,1.0,1.0,21.594985008239746,0.2713162899017334,1.0,1.0,1.0
576,100,20,5,0.4472135954999579,0.8333333333333334,1.0,1144.1579978466034,3.7964861392974854,3.1622776601683795,0.16666666666666666,0.8333333333333334
577,100,3,5,0.4472135954999579,1.0,1.0,6.971386909484863,0.3361856937408447,1.0,1.0,0.0
578,100,2,1,0.4472135954999579,1.0,1.0,0.5294804573059082,0.13458681106567383,1.0,1.0,1.0
579,100,18,1,0.4472135954999579,1.0,1.0,341.9343078136444,2.7233355045318604,3.1622776601683795,0.0,1.0
580,100,6,1,0.4472135954999579,1.0,1.0,16.31348752975464,0.16691017150878906,1.0,1.0,1.0
581,100,20,1,0.4472135954999579,1.0,1.0,471.9723563194275,4.272158861160278,3.1622776601683795,0.0,1.0
582,100,14,5,0.4472135954999579,1.0,0.8333333333333334,407.8169674873352,3.9142978191375732,3.1622776601683795,0.16666666666666666,0.8333333333333334
583,100,5,5,0.4472135954999579,1.0,0.8333333333333334,19.973329067230225,0.4197549819946289,1.0,0.8333333333333334,0.5
584,100,13,5,0.4472135954999579,0.8333333333333334,0.6666666666666666,396.0914685726166,2.541598081588745,3.1622776601683795,0.16666666666666666,0.6666666666666666
585,100,12,1,0.4472135954999579,1.0,1.0,127.15579986572266,0.3849179744720459,1.0,1.0,1.0
586,100,10,5,0.4472135954999579,1.0,1.0,254.85890984535217,3.486638307571411,3.1622776601683795,0.16666666666666666,0.8333333333333334
587,100,3,1,0.4472135954999579,1.0,1.0,1.691805362701416,0.4162018299102783,1.0,1.0,0.0
588,100,4,5,0.4472135954999579,0.5,0.5,18.36896014213562,0.9092602729797363,3.1622776601683795,0.5,0.5
589,100,8,1,0.4472135954999579,1.0,1.0,46.95172357559204,0.4839601516723633,1.0,1.0,1.0
590,100,16,5,0.4472135954999579,1.0,1.0,624.16188621521,3.3903398513793945,3.1622776601683795,0.16666666666666666,0.8333333333333334
591,100,13,1,0.4472135954999579,1.0,1.0,127.57740020751953,1.008122205734253,1.0,1.0,1.0
592,100,9,5,0.4472135954999579,0.6666666666666666,0.5,117.90250635147095,3.2480762004852295,3.1622776601683795,0.16666666666666666,0.3333333333333333
593,100,11,5,0.4472135954999579,1.0,0.8333333333333334,229.0799264907837,2.781568765640259,3.1622776601683795,0.16666666666666666,0.6666666666666666
594,100,15,5,0.4472135954999579,1.0,1.0,504.6298038959503,2.5940754413604736,3.1622776601683795,0.16666666666666666,0.8333333333333334
595,100,10,1,0.4472135954999579,1.0,1.0,57.66630268096924,0.5016031265258789,3.1622776601683795,0.0,1.0
596,100,14,1,0.4472135954999579,1.0,1.0,149.30334305763245,2.240247964859009,3.1622776601683795,0.0,1.0
597,100,16,1,0.4472135954999579,1.0,1.0,210.78030061721802,3.4059152603149414,3.1622776601683795,0.0,1.0
598,100,9,1,0.4472135954999579,1.0,1.0,51.700894355773926,0.3724355697631836,1.0,1.0,1.0
599,100,17,5,0.4472135954999579,1.0,1.0,596.2123577594757,3.1944212913513184,3.1622776601683795,0.0,0.5
600,100,5,1,0.4472135954999579,1.0,1.0,6.563732862472534,0.25303196907043457,1.0,1.0,1.0
