n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_time,gurobi_time
850,100,10,0.8,0.8,2.111108065,23.93696928
990,100,10,1,1,1.930216551,0.645034552
760,100,10,1,1,0.991682529,0.885327578
460,100,10,1,1,1.479346991,0.579324961
640,100,10,1,1,0.800619841,0.403570175
820,100,10,1,1,1.513678074,0.42376256
370,100,10,0.8,0.8,0.944228649,12.44369602
650,100,10,0.9,0.9,1.310471535,0.609588385
720,100,10,0.8,0.8,1.940167904,10.14001131
860,100,10,0.9,0.9,2.429159164,2.237832785
550,100,10,1,1,1.244395256,0.572887182
900,100,10,1,1,2.220087528,0.634714127
910,100,10,1,1,1.923751354,0.810642242
950,100,10,0.9,0.9,2.024755955,4.686351299
340,100,10,1,1,0.744280338,0.855227947
780,100,10,1,1,1.267884254,0.923356056
130,100,10,0.8,0.8,0.23242712,70.20134807
450,100,10,1,1,0.651480198,0.446445227
510,100,10,1,1,0.848774195,0.415402174
210,100,10,0.9,0.9,0.462945938,12.74258018
350,100,10,0.7,0.7,0.733892679,10.36026263
630,100,10,1,1,0.92802453,0.825112104
180,100,10,0.9,0.9,0.510153055,12.15303993
390,100,10,0.9,0.9,0.840174437,1.519073725
710,100,10,0.9,0.9,1.381156683,0.780067921
920,100,10,1,1,2.003624678,0.804870129
750,100,10,1,1,1.574818134,2.148858786
890,100,10,0.8,0.8,2.594891787,7.215184689
590,100,10,1,1,1.31793046,0.677304268
440,100,10,1,1,0.687176704,0.957030773
970,100,10,0.9,0.9,2.802574158,1.293514013
480,100,10,1,1,1.289074659,0.499073744
320,100,10,0.9,0.9,0.553449869,1.161352634
110,100,10,0.8,0.8,0.193784475,157.4655044
360,100,10,1,1,0.718313932,1.29359293
980,100,10,1,1,1.768695354,0.445030451
150,100,10,1,1,0.648385525,16.62337828
120,100,10,0.9,0.9,0.21611166,77.95188498
410,100,10,0.8,0.8,0.808163881,1.36703229
200,100,10,0.9,0.9,0.340029478,3.410779715
690,100,10,1,1,1.22578311,25.02708602
240,100,10,0.9,0.9,0.443532467,4.747875214
380,100,10,0.9,0.9,0.738202572,1.149421453
940,100,10,0.9,0.9,1.708549023,0.760577917
470,100,10,0.9,0.9,2.128249168,1.841369152
540,100,10,1,1,1.121101618,0.427030802
1000,100,10,0.9,0.9,1.924786806,0.544626236
610,100,10,0.8,0.8,1.622564554,5.213953018
830,100,10,1,1,1.28440094,0.950856447
700,100,10,0.9,0.9,1.81898427,12.30390048
220,100,10,0.9,0.9,0.522874117,39.97428918
580,100,10,1,1,0.785123825,0.76882863
960,100,10,0.9,0.9,2.019863367,3.114420176
270,100,10,0.8,0.8,0.366568804,3.166341066
800,100,10,0.9,0.9,1.812554836,1.620639801
310,100,10,1,1,0.580827951,10.88800406
100,100,10,0.8,0.8,0.213299274,1748.139684
670,100,10,0.8,0.8,1.207030058,10.55031753
810,100,10,1,1,1.755019903,0.504024267
570,100,10,0.9,0.9,1.173308611,1.614630222
660,100,10,0.8,0.8,1.071789742,4.148548126
500,100,10,0.8,0.8,1.196189642,45.1775341
930,100,10,0.9,0.9,1.190785646,0.403439999
840,100,10,1,1,1.132601261,0.484926701
190,100,10,0.9,0.9,0.400206804,31.18762326
680,100,10,1,1,0.980122566,9.543762445
230,100,10,0.9,0.9,0.548965454,8.817209005
730,100,10,0.8,0.8,1.621975422,8.372410059
250,100,10,0.9,0.9,0.488743544,104.6964631
290,100,10,1,1,0.399084806,0.569241762
770,100,10,1,1,1.111753464,0.466475725
160,100,10,0.9,0.9,0.405375719,12.16849566
870,100,10,1,1,1.647681713,1.470866203
420,100,10,0.8,0.8,1.025546074,20.08812881
330,100,10,0.9,0.9,0.510773659,7.466369867
170,100,10,0.9,0.9,0.253651619,6.353625536
600,100,10,0.9,0.9,0.726304531,0.53059268
530,100,10,0.9,0.9,1.38820529,0.899508238
740,100,10,1,1,1.375393629,0.589143038
430,100,10,0.9,0.9,0.913862467,1.248674154
260,100,10,0.8,0.8,1.135157108,17.0912962
790,100,10,1,1,1.765660048,0.419710398
300,100,10,1,1,0.897369385,0.88203764
620,100,10,1,1,1.578676701,1.648961544
140,100,10,0.8,0.8,0.417000055,25.63621855
520,100,10,0.9,0.9,1.09956646,7.000396967
880,100,10,0.9,0.9,1.775814295,1.270468712
400,100,10,0.8,0.8,1.24316144,8.020957947
490,100,10,1,1,0.930082798,0.536818743
280,100,10,1,1,0.865646601,4.771608114
560,100,10,0.9,0.9,1.523777485,3.957168341
850,100,10,0.9,0.9,1.706212521,0.662603378
990,100,10,1,1,1.947334051,0.994386911
760,100,10,1,1,1.424560308,0.554137945
460,100,10,0.8,0.8,1.239916325,3.920221329
640,100,10,0.9,0.9,1.678241968,20.41526866
820,100,10,0.8,0.8,1.202439785,2.350732803
370,100,10,0.8,0.9,1.294511557,6.001186132
650,100,10,1,1,1.483035803,0.409749031
720,100,10,0.8,0.8,1.124566078,4.09650898
860,100,10,1,1,1.180741072,0.394998074
550,100,10,0.9,0.9,0.920803308,3.226322174
900,100,10,1,1,1.376953125,0.518820047
910,100,10,1,1,1.58913064,0.430125713
950,100,10,0.9,0.9,2.020988941,2.302604437
340,100,10,0.9,0.9,0.761440277,8.834171295
780,100,10,1,1,1.022892952,1.287136316
130,100,10,0.9,0.8,0.303504467,183.4827964
450,100,10,1,1,0.600689411,0.429763079
510,100,10,1,1,0.769159794,0.906584263
210,100,10,0.9,0.9,0.499871492,4.917699814
350,100,10,0.8,0.8,0.71273756,4.800853968
630,100,10,0.9,0.9,1.138888121,8.775570154
180,100,10,0.9,0.9,0.330174685,14.68111658
390,100,10,1,1,0.56172657,0.44040966
710,100,10,1,1,1.571917295,0.533962488
920,100,10,1,1,1.655955553,1.092812061
750,100,10,0.9,0.9,1.048555136,0.956194401
890,100,10,0.9,0.9,2.452697992,4.135149717
590,100,10,0.9,0.9,1.375351906,0.789721012
440,100,10,1,1,0.626531601,0.650021076
970,100,10,0.9,0.9,1.743044615,0.80902195
480,100,10,1,1,0.751235008,0.573583364
320,100,10,1,1,0.49141717,0.541274548
110,100,10,0.9,0.9,0.229741812,176.1475024
360,100,10,0.8,0.8,0.579261541,15.98676395
980,100,10,1,1,0.959795713,0.37619257
150,100,10,0.9,0.9,0.379225016,15.34276438
120,100,10,0.8,0.9,0.172648191,94.16357064
410,100,10,1,1,0.541049242,0.384891748
200,100,10,0.9,0.9,0.412234545,11.79109359
690,100,10,1,1,1.407161474,0.777875662
240,100,10,0.8,0.8,0.547784567,52.32829237
380,100,10,1,1,0.688392162,1.037755013
940,100,10,1,1,2.090140343,3.32683301
470,100,10,0.8,0.8,0.781157494,57.15007305
540,100,10,0.9,0.9,1.10194087,12.4552834
1000,100,10,0.9,0.9,1.980016232,14.79562163
610,100,10,0.9,0.9,1.010592222,2.963881254
830,100,10,1,1,0.947440386,0.564157486
700,100,10,1,1,1.990949631,0.409198999
220,100,10,1,1,0.330959082,5.067975283
580,100,10,1,1,0.708392143,0.430881739
960,100,10,1,1,1.040875673,0.582660437
270,100,10,1,1,0.559819698,4.076685905
800,100,10,0.9,0.9,1.298438072,0.813328505
310,100,10,0.9,0.9,0.544793129,4.866984367
100,100,10,0.7,0.6,0.330234528,678.6815646
670,100,10,1,1,1.277411938,0.737064123
810,100,10,0.9,0.9,1.261090517,1.425539494
570,100,10,1,1,1.545538425,1.747806311
660,100,10,0.8,0.8,1.657480001,4.574205399
500,100,10,1,1,0.751331568,0.407653093
930,100,10,1,1,1.406263828,0.386726856
840,100,10,1,1,1.81191206,4.148080349
190,100,10,0.8,0.8,0.397063971,8.999861956
680,100,10,1,1,0.921584845,0.873752356
230,100,10,0.8,0.8,0.54558897,35.29953647
730,100,10,0.9,0.9,1.252725363,1.316205502
250,100,10,0.8,0.8,0.346751213,11.11945438
290,100,10,0.8,0.8,0.478950262,64.77539492
770,100,10,0.9,0.9,1.256557703,1.061228037
40,100,10,0.6,0.6,0.139280558,10004.32294
10,100,10,0.3,0.3,0.039237022,0.551965714
50,100,10,0.6,0.7,0.118820667,10005.62716
20,100,10,0.2,0.2,0.099281073,10005.41418
80,100,10,1,1,0.24972105,10005.06434
90,100,10,1,1,0.182694197,10004.61463
60,100,10,0.7,0.8,0.159520864,10004.2863
30,100,10,0.3,0.4,0.098019123,10005.40245
70,100,10,0.9,0.9,0.188250303,10005.13301
40,100,10,0.6,0.6,0.141461611,10004.80899
10,100,10,0.3,0.3,0.037914515,0.361371279
50,100,10,0.6,0.7,0.120881557,10004.91667
20,100,10,0.2,0.2,0.106134176,10005.29688
80,100,10,1,1,0.240599632,10005.07811
90,100,10,1,1,0.180073977,10004.70219
60,100,10,0.7,0.8,0.150563955,10004.52522
30,100,10,0.3,0.4,0.09222126,10005.91464
70,100,10,0.9,0.9,0.188933611,10005.17348
40,100,10,0.6,0.6,0.2290833,10003.60666
10,100,10,0.3,0.3,0.070028067,0.588197947
50,100,10,0.6,0.7,0.123039722,10004.99278
20,100,10,0.2,0.2,0.105336666,10004.59787
80,100,10,1,1,0.230813742,10005.04382
90,100,10,1,1,0.166764021,10006.33789
60,100,10,0.7,0.8,0.143161297,10004.72293
30,100,10,0.3,0.4,0.079432249,10005.20859
70,100,10,0.9,0.9,0.207197189,10004.54458
40,100,10,0.6,0.6,0.120530844,10005.96627
10,100,10,0.3,0.3,0.0310781,0.472151995
50,100,10,0.6,0.7,0.123146296,10004.72277
20,100,10,0.2,0.2,0.108839512,10004.62268
80,100,10,1,1,0.232506752,10004.99496
90,100,10,1,1,0.180794954,10004.93845
60,100,10,0.7,0.8,0.152942419,10004.12822
30,100,10,0.3,0.4,0.090517044,10004.48842
70,100,10,0.9,0.9,0.287165165,10003.30656
40,100,10,0.6,0.6,0.139261961,10004.96142
10,100,10,0.3,0.3,0.030971289,0.60589838
50,100,10,0.6,0.7,0.240271807,10003.40059
20,100,10,0.2,0.2,0.106606007,10004.21467
80,100,10,0.9,0.9,0.126141071,10003.9126
90,100,10,0.9,0.9,0.194963217,10004.45289
60,100,10,0.7,0.8,0.115649939,10004.54656
30,100,10,0.8,0.9,0.090720892,10004.879
70,100,10,1,1,0.125912189,10004.75599
99,100,10,0.7,0.7,0.239516497,1182.540813
96,100,10,0.9,0.9,0.226510763,10003.94181
98,100,10,1,1,0.251312017,5406.029954
14,100,10,0.2,0.1,0.224061728,10006.05636
17,100,10,0.2,0.2,0.112675905,10005.97591
94,100,10,0.9,0.9,0.230772257,10003.76789
15,100,10,0.1,0.2,0.080445528,10006.06773
91,100,10,1,1,0.510256052,10005.70013
95,100,10,0.9,0.9,0.263221741,10004.22309
12,100,10,0.1,0.1,0.047326088,72.72275734
18,100,10,0.2,0.3,0.075884104,10004.56442
19,100,10,0.1,0.1,0.100567579,10004.41867
16,100,10,0.2,0.2,0.229165077,10004.92578
92,100,10,0.9,0.9,0.231837273,10003.1585
13,100,10,0.2,0.3,0.190921783,10005.68764
97,100,10,0.9,0.9,0.221702099,3563.950211
11,100,10,0.2,0.2,0.04381609,0.881599903
93,100,10,0.7,0.8,0.844005108,10005.95516
99,100,10,0.7,0.7,0.269300699,1204.425313
96,100,10,0.9,0.9,0.484841585,10003.42419
98,100,10,1,1,0.245771885,5404.234328
14,100,10,0.2,0.1,0.063637018,10004.56376
17,100,10,0.2,0.2,0.203691721,10004.85624
94,100,10,0.9,0.9,0.365909576,10005.59848
15,100,10,0.1,0.2,0.075021744,10005.14424
91,100,10,1,1,0.263942242,10004.17892
95,100,10,0.9,0.9,0.398555994,10004.75926
12,100,10,0.1,0.1,0.050489664,72.72279406
18,100,10,0.2,0.3,0.076531172,10004.72988
19,100,10,0.1,0.1,0.102600336,10005.96804
16,100,10,0.2,0.2,0.072883129,10005.56486
92,100,10,0.9,0.9,0.24085021,10003.39052
13,100,10,0.2,0.3,0.058201551,10007.07684
97,100,10,0.9,0.9,0.196033001,3537.84794
11,100,10,0.2,0.2,0.031592607,0.899995089
93,100,10,0.7,0.8,0.881710529,10006.46057
99,100,10,0.7,0.7,0.238420486,1201.619186
96,100,10,0.9,0.9,0.227741957,10004.17387
98,100,10,1,1,0.2535007,5329.844785
14,100,10,0.2,0.1,0.122295618,10005.77115
17,100,10,0,0.1,0.125088215,10005.6888
94,100,10,0.8,0.8,0.57825613,10003.20529
15,100,10,0.2,0.1,0.059445143,10002.40038
91,100,10,0.8,0.8,0.208821535,9511.326785
95,100,10,0.6,0.8,0.24780941,10001.5531
12,100,10,0.3,0.3,0.033726931,159.6360569
18,100,10,0.4,0.2,0.039675236,10002.48872
19,100,10,0.1,0.4,0.05060935,10002.48665
16,100,10,0,0.1,0.051833868,10002.43559
92,100,10,0.9,0.9,0.168444395,10002.53935
13,100,10,0.3,0.1,0.035598755,10002.60799
97,100,10,0.8,0.8,0.287908792,927.6381013
11,100,10,0.1,0.1,0.029333353,0.372320414
93,100,10,0.9,0.9,0.220094919,6451.806151
99,100,10,0.8,0.8,0.328853846,1324.560468
96,100,10,0.8,0.8,0.18392849,5123.800743
98,100,10,0.8,0.8,0.192061186,2405.261504
14,100,10,0.2,0.1,0.043575048,10003.08437
17,100,10,0.2,0.1,0.083690166,10003.16119
94,100,10,0.9,0.9,0.173892021,10001.44436
15,100,10,0.2,0.4,0.051920414,10003.32698
91,100,10,0.8,0.8,0.196088552,10004.81736
95,100,10,0.8,0.9,0.212286949,10002.89424
12,100,10,0.1,0.2,0.048477173,772.4144642
18,100,10,0.4,0.4,0.07418251,10004.36121
19,100,10,0.3,0.2,0.079661608,10003.35326
16,100,10,0.2,0,0.059601545,10003.36418
92,100,10,0.6,0.6,0.259617805,10003.8134
13,100,10,0.1,0,0.041426182,10003.29247
97,100,10,0.9,0.9,0.244079351,6203.405855
11,100,10,0.2,0,0.028175831,0.807847023
93,100,10,0.9,0.9,0.169933796,10003.10175
99,100,10,0.8,0.8,0.223567486,3065.168572
96,100,10,0.8,0.8,0.210839748,4234.930208
98,100,10,0.8,0.8,0.190564394,283.3537352
14,100,10,0.1,0.1,0.037512779,10003.06011
17,100,10,0.2,0.2,0.06621623,10003.16455
94,100,10,0.8,0.8,0.17527318,10001.7435
15,100,10,0,0.2,0.065186501,10002.95691
91,100,10,0.9,0.9,0.193335295,10003.11865
95,100,10,0.8,0.8,0.189984083,1946.942897
12,100,10,0.2,0.3,0.034367561,932.3649414
18,100,10,0.3,0.1,0.04587245,10003.37805
19,100,10,0.1,0.4,0.057285309,10003.07578
16,100,10,0.1,0.1,0.057159901,10004.04249
92,100,10,0.9,0.8,0.199499607,10002.47281
13,100,10,0.1,0.1,0.038455248,10003.04535
97,100,10,0.8,0.8,0.273132086,5778.278073
11,100,10,0.1,0.1,0.025882006,0.377590895
93,100,10,0.8,0.8,0.179379225,10001.97283
