,n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_fdr,gurobi_fdr,autodiff_mse,gurobi_mse,autodiff_time,gurobi_time
0,50,34,10,0.8,0.8,0.2,0.2,41109.8837031512,41109.88370008247,0.056385040283203125,1.3642690181732178
1,100,50,17,0.8823529411764706,0.8235294117647058,0.11764705882352941,0.17647058823529413,49123.4958132449,54975.9691631066,0.13516831398010254,8.34502649307251
2,50,53,10,0.8,0.8,0.2,0.2,73123.09730385648,73123.09730208221,0.05726170539855957,142.53641533851624
3,50,36,10,0.9,0.9,0.1,0.1,32313.40725822043,32313.407262154196,0.03004741668701172,0.2396864891052246
4,50,50,11,0.8181818181818182,0.8181818181818182,0.18181818181818182,0.18181818181818182,53517.67674843259,53517.67674857081,0.07625198364257812,28.623177528381348
5,100,100,10,0.8,0.8,0.2,0.2,24512.28818248422,21276.913553903098,0.2665438652038574,1078.0682895183563
6,50,51,10,0.8,0.8,0.2,0.2,35412.26473174326,35412.26473363467,0.04638409614562988,127.2287585735321
7,100,90,10,0.8,0.8,0.2,0.2,19709.672538828407,19709.672538729686,0.2593803405761719,68.66604566574097
8,50,50,18,0.6111111111111112,0.5555555555555556,0.3888888888888889,0.4444444444444444,134594.85844186106,260289.11366370987,0.09933185577392578,969.6934700012207
9,100,50,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,3408.326974073915,3408.3269740738774,0.05030417442321777,0.3249638080596924
10,50,70,10,0.7,0.7,0.3,0.3,12007.184353035216,16551.25618500692,0.07603049278259277,3601.7546548843384
11,50,50,13,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.38461538461538464,42877.063312067374,42877.063312956605,0.05435824394226074,301.55525636672974
12,100,60,10,0.7,0.7,0.3,0.3,13012.514139685709,13012.514139471408,0.1111757755279541,4.377915382385254
13,50,60,10,0.7,0.6,0.3,0.4,85137.17015466768,229836.89026907104,0.0833292007446289,3601.368336200714
14,100,50,10,0.7,0.7,0.3,0.3,13467.591335937916,12928.624977874668,0.18397307395935059,2.820549726486206
15,50,55,10,0.8,0.8,0.2,0.2,32049.15969716484,32049.159697023326,0.08686232566833496,358.57741355895996
16,50,37,10,0.7,0.7,0.3,0.3,23549.095142368802,23549.09514118384,0.049227237701416016,2.2612054347991943
17,100,50,5,0.8,0.8,0.2,0.2,1774.6709714992571,1774.6709714994063,0.06607770919799805,0.2546830177307129
18,100,50,20,0.8,0.8,0.2,0.2,36325.46058256117,36325.460581606414,0.20656323432922363,4.841291666030884
19,50,39,10,0.9,0.9,0.1,0.1,45398.06104333779,45398.06104282944,0.0398867130279541,0.6608254909515381
20,50,58,10,0.7,0.8,0.3,0.2,48740.03461856563,30957.098107104415,0.07315230369567871,3600.9587411880493
21,50,50,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,16163.432414095956,16163.432414095729,0.03008890151977539,1.5877752304077148
22,100,50,2,1.0,1.0,0.0,0.0,3160.6930506249773,3160.6930506252875,0.03139376640319824,0.14275217056274414
23,100,85,10,0.8,0.8,0.2,0.2,12197.988855052477,12197.988855144013,0.15575647354125977,34.50954723358154
24,50,22,10,1.0,1.0,0.0,0.0,42840.112464347585,42840.11246419782,0.2207329273223877,0.26758670806884766
25,50,50,1,1.0,1.0,0.0,0.0,2094.5169088325747,2094.5169088325742,0.024708271026611328,0.15709805488586426
26,100,105,10,0.9,0.9,0.1,0.1,13379.818821022647,12556.163772892414,0.234694242477417,3602.9320583343506
27,50,56,10,0.7,0.7,0.3,0.3,18072.91334440974,25010.4054224349,0.07355690002441406,1352.4300167560577
28,50,41,10,0.7,0.7,0.3,0.3,13938.88236929951,12853.026256510479,0.06484389305114746,3.697310447692871
29,100,70,10,0.7,0.7,0.3,0.3,34506.44387757766,34506.44387703199,0.18372607231140137,7.306393384933472
30,50,24,10,0.9,0.9,0.1,0.1,40078.777781437806,40078.77778129939,0.02069377899169922,0.08109927177429199
31,50,50,16,0.625,0.625,0.375,0.375,253568.3502695146,253568.35035146982,0.0906684398651123,363.0637526512146
32,50,50,12,0.9166666666666666,0.5833333333333334,0.08333333333333333,0.4166666666666667,46635.69169089999,131762.76911636157,0.06551313400268555,48.96281051635742
33,100,50,8,1.0,1.0,0.0,0.0,13408.405789046086,13408.405789042721,0.07828474044799805,0.32959604263305664
34,50,50,7,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.2857142857142857,12263.674931242267,12263.674931114047,0.03398466110229492,5.228234767913818
35,50,59,10,0.8,0.6,0.2,0.4,28711.69270447545,80502.06479971568,0.08221244812011719,3601.3314905166626
36,50,20,10,0.7,0.8,0.3,0.2,14519.548221497433,12018.907262377481,0.25834131240844727,0.27150988578796387
37,100,55,10,0.8,0.8,0.2,0.2,10278.339005290034,11760.085503314733,0.18571758270263672,1.7995152473449707
38,50,23,10,0.8,0.8,0.2,0.2,13831.987486571854,13831.98748570006,0.02818012237548828,0.07578516006469727
39,100,30,10,0.9,0.9,0.1,0.1,11270.625577560944,11270.62557752817,0.04974961280822754,0.06467318534851074
40,50,30,10,0.7,0.7,0.3,0.3,10639.851768944112,10639.851769094836,0.05134320259094238,1.9789843559265137
41,50,50,14,0.5,0.6428571428571429,0.5,0.35714285714285715,285892.0861287154,322683.81981784216,0.0907595157623291,241.45640468597412
42,100,50,19,0.8421052631578947,0.8421052631578947,0.15789473684210525,0.15789473684210525,30399.04432878131,30399.04432799442,0.17373347282409668,7.525671720504761
43,50,43,10,0.8,0.8,0.2,0.2,28776.1909747748,34492.12621344494,0.047232866287231445,3.7448806762695312
44,50,42,10,0.9,0.9,0.1,0.1,72552.20702650982,72552.20702567685,0.046662330627441406,3.972960948944092
45,50,25,10,0.8,0.9,0.2,0.1,43477.82761959995,44954.81706009692,0.016705989837646484,0.054961442947387695
46,100,50,15,0.9333333333333333,0.8666666666666667,0.06666666666666667,0.13333333333333333,18814.78936617772,18332.636267932332,0.1443159580230713,6.501501083374023
47,50,62,10,0.7,0.7,0.3,0.3,20335.105432812594,27836.806750619726,0.08251214027404785,3601.7964832782745
48,50,61,10,1.0,1.0,0.0,0.0,14728.416947507256,14728.416947557,0.08810281753540039,3601.6981370449066
49,50,50,4,0.75,0.75,0.25,0.25,3692.844111915744,3692.8441119159097,0.02878093719482422,0.3452920913696289
50,50,27,10,0.9,1.0,0.1,0.0,9550.710071171716,9648.313462423695,0.03427624702453613,0.09710383415222168
51,50,26,10,0.7,0.7,0.3,0.3,50582.458448959995,50582.45844114154,0.029327392578125,0.2602841854095459
52,100,110,10,0.7,0.7,0.3,0.3,18286.050744754702,18697.99042621702,0.29679083824157715,3605.468799829483
53,50,46,10,0.7,0.6,0.3,0.4,14205.673686032926,24479.641351919192,0.05286693572998047,5.142104625701904
54,50,29,10,0.7,0.7,0.3,0.3,12963.668867125773,12963.668866916856,0.0277249813079834,0.1716005802154541
55,50,45,10,0.9,0.9,0.1,0.1,26528.201522771484,26528.20152272712,0.0668187141418457,11.518330574035645
56,50,28,10,0.8,0.8,0.2,0.2,57309.62576354371,57309.62576521323,0.08230352401733398,0.6377525329589844
57,50,50,15,0.8,0.6,0.2,0.4,178192.312018966,272890.9162566644,0.08263278007507324,449.3455500602722
58,50,65,10,0.6,0.7,0.4,0.3,36031.39196434529,26457.999791972885,0.08342742919921875,3603.496243238449
59,100,50,11,0.9090909090909091,0.9090909090909091,0.09090909090909091,0.09090909090909091,16521.05903141759,16521.05903127923,0.0649099349975586,0.47585391998291016
60,50,44,10,1.0,0.9,0.0,0.1,19536.203013298076,34123.30010829967,0.05846595764160156,13.372273683547974
61,50,68,10,0.7,0.7,0.3,0.3,31117.57895118516,29428.469365680554,0.06313371658325195,3602.629554748535
62,100,75,10,0.8,0.8,0.2,0.2,9665.646803157953,10819.31849413559,0.15283656120300293,23.406414270401
63,50,63,10,0.5,0.4,0.5,0.6,19632.619112864555,22457.43781521287,0.07420706748962402,3603.5276255607605
64,100,50,18,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,41524.75680682178,41524.75680717992,0.18300127983093262,7.016308069229126
65,100,20,10,0.7,0.7,0.3,0.3,7071.67424722079,7071.67424773421,0.037444114685058594,0.04416513442993164
66,50,50,17,0.8235294117647058,0.6470588235294118,0.17647058823529413,0.35294117647058826,76955.05376528621,187692.72951563614,0.07195281982421875,790.6815030574799
67,100,50,13,0.8461538461538461,0.8461538461538461,0.15384615384615385,0.15384615384615385,12343.048240937744,12343.048240911277,0.08628988265991211,2.138230085372925
68,100,50,14,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.2857142857142857,23880.82452887034,23880.824525500902,0.1484525203704834,1.503164291381836
69,100,35,10,0.7,0.7,0.3,0.3,6997.473330853029,6997.473338819543,0.07404232025146484,0.1254115104675293
70,50,64,10,0.7,0.7,0.3,0.3,21932.987060934873,21932.987060949083,0.08918190002441406,3601.838258743286
71,50,47,10,0.8,0.8,0.2,0.2,10623.058254801063,8511.225947650513,0.04030561447143555,10.615340948104858
72,50,66,10,0.7,0.6,0.3,0.4,135943.98454725285,97178.49596473413,0.12461423873901367,3603.2518107891083
73,50,49,10,0.8,0.9,0.2,0.1,98564.5814958466,25759.36664821066,0.05228734016418457,31.038482427597046
74,50,50,10,0.6,0.6,0.4,0.4,43332.319777869314,43332.3197774493,0.08566164970397949,53.362796783447266
75,50,48,10,0.6,0.6,0.4,0.4,89435.05035166455,99655.7043534762,0.05950331687927246,25.06715226173401
76,50,50,9,1.0,1.0,0.0,0.0,26250.402338361462,26250.402337232015,0.04700493812561035,45.714895248413086
77,50,67,10,0.9,0.9,0.1,0.1,71015.55989430007,44898.476634534054,0.07640743255615234,3601.3124690055847
78,100,50,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,5920.793803898015,5920.793803896495,0.06263947486877441,0.22818350791931152
79,100,40,10,0.8,0.8,0.2,0.2,6505.922483212323,6505.9224830491185,0.0787665843963623,0.47614502906799316
80,50,50,5,0.8,0.8,0.2,0.2,4816.625680218864,4816.625680218583,0.08123183250427246,2.462472915649414
81,100,50,1,1.0,1.0,0.0,0.0,735.4978158399235,735.4978158399235,0.03360342979431152,0.19819998741149902
82,100,80,10,0.7,0.7,0.3,0.46153846153846156,13468.699339681702,9109.274169116341,0.14270234107971191,62.644604444503784
83,50,50,20,0.6,0.65,0.4,0.35,131448.7925319968,111193.36203337062,0.1418302059173584,296.83751940727234
84,100,50,16,0.75,0.75,0.25,0.25,28285.287117979467,28285.28711782996,0.18265414237976074,1.6990711688995361
85,100,50,12,0.8333333333333334,0.9166666666666666,0.16666666666666666,0.08333333333333333,10382.065816703167,11369.594066250014,0.08859419822692871,3.472352981567383
86,50,50,2,1.0,1.0,0.0,0.0,3882.342661287975,3882.3426612879775,0.01864480972290039,0.17179203033447266
87,50,69,10,0.8,0.6,0.2,0.4,22201.240065282134,115181.00103889599,0.09626412391662598,3602.9021496772766
88,100,50,7,0.8571428571428571,0.7142857142857143,0.14285714285714285,0.2857142857142857,7530.662600084235,9449.604041770272,0.098907470703125,1.049891710281372
89,100,95,10,1.0,0.9,0.0,0.1,22832.26674012074,23324.244661427296,0.23112130165100098,1236.7779710292816
90,50,32,10,0.8,0.8,0.2,0.2,13819.3293380947,13819.329336848354,0.06165146827697754,0.18202447891235352
91,50,52,10,0.8,0.8,0.2,0.2,52729.96879698121,52729.968796548645,0.06986260414123535,97.60677313804626
92,50,35,10,0.7,0.6,0.3,0.4,24274.429921696392,27742.00950917134,0.0643010139465332,1.7560782432556152
93,100,25,10,0.9,0.9,0.1,0.1,14889.398926434504,14889.398926515709,0.0351564884185791,0.07882809638977051
94,100,50,9,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.1111111111111111,6740.701262453719,6740.701262403859,0.09302520751953125,0.2424328327178955
95,50,54,10,0.7,0.6,0.3,0.4,15957.511696790185,10528.080948329532,0.05939459800720215,395.560861825943
96,50,50,8,0.875,0.875,0.125,0.125,29431.414562936283,29431.41456292902,0.06700897216796875,11.603286266326904
97,100,50,4,1.0,1.0,0.0,0.0,8862.780139361677,8862.780139362578,0.050112009048461914,0.21135354042053223
98,50,50,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,3792.775522865947,3792.7755228659453,0.024352550506591797,0.27236175537109375
99,50,31,10,0.8,0.9,0.2,0.1,89895.54906222617,63558.32045049543,0.029111146926879883,0.10143136978149414
100,50,38,10,0.6,0.5,0.4,0.5,76370.70545810307,120233.4395212583,0.04236173629760742,3.978372097015381
101,50,21,10,0.9,0.9,0.1,0.1,44742.835786590615,44742.83578564726,0.02299046516418457,0.039112091064453125
102,100,45,10,0.9,0.9,0.1,0.1,18220.19870345434,18220.198703564387,0.07549452781677246,0.4706447124481201
103,50,50,19,0.6842105263157895,0.47368421052631576,0.3157894736842105,0.5263157894736842,231836.15092176912,291664.58554911293,0.11697244644165039,448.8788447380066
104,100,65,10,0.9,1.0,0.1,0.0,9066.905550979818,6453.8777543243195,0.17805004119873047,7.436217546463013
105,50,33,10,0.7,0.7,0.3,0.3,18770.501992745176,20031.708224621598,0.03718996047973633,0.2656242847442627
106,50,57,10,0.8,0.7,0.2,0.3,38248.65987937893,73739.5379359909,0.07013940811157227,1197.9623935222626
107,50,40,10,0.7,0.8,0.3,0.2,40305.118443562555,19127.827302855465,0.04538154602050781,5.799204111099243
108,50,34,10,0.8,0.8,0.2,0.2,41109.8837031512,41109.88370008247,0.049777984619140625,1.141122817993164
109,100,50,17,0.8823529411764706,0.8235294117647058,0.11764705882352941,0.17647058823529413,49123.4958132449,54975.9691631066,0.14164471626281738,7.987906455993652
110,50,53,10,0.8,0.8,0.2,0.2,73123.09730385648,73123.09730208221,0.05812501907348633,139.57302522659302
111,50,36,10,0.9,0.9,0.1,0.1,32313.40725822043,32313.407262154196,0.029927730560302734,0.2513852119445801
112,50,50,11,0.8181818181818182,0.8181818181818182,0.18181818181818182,0.18181818181818182,53517.67674843259,53517.67674857081,0.06757807731628418,29.344858169555664
113,100,100,10,0.8,0.8,0.2,0.2,24512.28818248422,21276.913553903098,0.26967740058898926,1103.4234306812286
114,50,51,10,0.8,0.8,0.2,0.2,35412.26473174326,35412.26473363467,0.051999807357788086,127.88946175575256
115,100,90,10,0.8,0.8,0.2,0.2,19709.672538828407,19709.672538729686,0.2755296230316162,68.81711387634277
116,50,50,18,0.6111111111111112,0.5555555555555556,0.3888888888888889,0.4444444444444444,134594.85844186106,260289.11366370987,0.1360175609588623,966.5777082443237
117,100,50,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,3408.326974073915,3408.3269740738774,0.06803345680236816,0.3518669605255127
118,50,70,10,0.7,0.7,0.3,0.3,12007.184353035216,16551.25618500692,0.09069275856018066,3602.0792446136475
119,50,50,13,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.38461538461538464,42877.063312067374,42877.063312956605,0.06246137619018555,305.5508906841278
120,100,60,10,0.7,0.7,0.3,0.3,13012.514139685709,13012.514139471408,0.12218117713928223,4.140558242797852
121,50,60,10,0.7,0.6,0.3,0.4,85137.17015466768,229836.89026907104,0.08841776847839355,3602.314680337906
122,100,50,10,0.7,0.7,0.3,0.3,13467.591335937916,12928.624977874668,0.1156911849975586,2.538977861404419
123,50,55,10,0.8,0.8,0.2,0.2,32049.15969716484,32049.159697023326,0.08605241775512695,360.1874432563782
124,50,37,10,0.7,0.7,0.3,0.3,23549.095142368802,23549.09514118384,0.04192852973937988,2.7213451862335205
125,100,50,5,0.8,0.8,0.2,0.2,1774.6709714992571,1774.6709714994063,0.06005048751831055,0.3999350070953369
126,100,50,20,0.8,0.8,0.2,0.2,36325.46058256117,36325.460581606414,0.19675254821777344,5.660046815872192
127,50,39,10,0.9,0.9,0.1,0.1,45398.06104333779,45398.06104282944,0.04059576988220215,0.6165306568145752
128,50,58,10,0.7,0.8,0.3,0.2,48740.03461856563,30957.098107104415,0.07862710952758789,3600.663032054901
129,50,50,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,16163.432414095956,16163.432414095729,0.0277252197265625,1.5486185550689697
130,100,50,2,1.0,1.0,0.0,0.0,3160.6930506249773,3160.6930506252875,0.03486752510070801,0.1272590160369873
131,100,85,10,0.8,0.8,0.2,0.2,12197.988855052477,12197.988855144013,0.1395432949066162,33.932090282440186
132,50,22,10,1.0,1.0,0.0,0.0,42840.112464347585,42840.11246419782,0.1065831184387207,0.3478424549102783
133,50,50,1,1.0,1.0,0.0,0.0,2094.5169088325747,2094.5169088325742,0.021480321884155273,0.4007537364959717
134,100,105,10,0.9,0.9,0.1,0.1,13379.818821022647,12556.163772892414,0.22302889823913574,3605.2164404392242
135,50,56,10,0.7,0.7,0.3,0.3,18072.91334440974,25010.4054224349,0.07726716995239258,1340.2901411056519
136,50,41,10,0.7,0.7,0.3,0.3,13938.88236929951,12853.026256510479,0.06788063049316406,3.1877479553222656
137,100,70,10,0.7,0.7,0.3,0.3,34506.44387757766,34506.44387703199,0.13005328178405762,7.332927465438843
138,50,24,10,0.9,0.9,0.1,0.1,40078.777781437806,40078.77778129939,0.020634174346923828,0.05763125419616699
139,50,50,16,0.625,0.625,0.375,0.375,253568.3502695146,253568.35035146982,0.09827947616577148,364.80716013908386
140,50,50,12,0.9166666666666666,0.5833333333333334,0.08333333333333333,0.4166666666666667,46635.69169089999,131762.76911636157,0.06474900245666504,48.59234547615051
141,100,50,8,1.0,1.0,0.0,0.0,13408.405789046086,13408.405789042721,0.09381675720214844,0.3001275062561035
142,50,50,7,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.2857142857142857,12263.674931242267,12263.674931114047,0.037599802017211914,5.278387784957886
143,50,59,10,0.8,0.6,0.2,0.4,28711.69270447545,80502.06479971568,0.10062122344970703,3601.120756149292
144,50,20,10,0.7,0.8,0.3,0.2,14519.548221497433,12018.907262377481,0.03167247772216797,0.3011143207550049
145,100,55,10,0.8,0.8,0.2,0.2,10278.339005290034,11760.085503314733,0.10926318168640137,2.0016860961914062
146,50,23,10,0.8,0.8,0.2,0.2,13831.987486571854,13831.98748570006,0.029219388961791992,0.07522988319396973
147,100,30,10,0.9,0.9,0.1,0.1,11270.625577560944,11270.62557752817,0.04950571060180664,0.06455707550048828
148,50,30,10,0.7,0.7,0.3,0.3,10639.851768944112,10639.851769094836,0.0460054874420166,2.1090924739837646
149,50,50,14,0.5,0.6428571428571429,0.5,0.35714285714285715,285892.0861287154,322683.81981784216,0.09054994583129883,234.90061593055725
150,100,50,19,0.8421052631578947,0.8421052631578947,0.15789473684210525,0.15789473684210525,30399.04432878131,30399.04432799442,0.1867673397064209,7.581350326538086
151,50,43,10,0.8,0.8,0.2,0.2,28776.1909747748,34492.12621344494,0.0484163761138916,3.714769124984741
152,50,42,10,0.9,0.9,0.1,0.1,72552.20702650982,72552.20702567685,0.06230807304382324,4.572226524353027
153,50,25,10,0.8,0.9,0.2,0.1,43477.82761959995,44954.81706009692,0.01920175552368164,0.16418814659118652
154,100,50,15,0.9333333333333333,0.8666666666666667,0.06666666666666667,0.13333333333333333,18814.78936617772,18332.636267932332,0.13814401626586914,6.7612855434417725
155,50,62,10,0.7,0.7,0.3,0.3,20335.105432812594,27836.806750619726,0.07886362075805664,3601.998197555542
156,50,61,10,1.0,1.0,0.0,0.0,14728.416947507256,14728.416947557,0.10261249542236328,3601.41357755661
157,50,50,4,0.75,0.75,0.25,0.25,3692.844111915744,3692.8441119159097,0.025725126266479492,0.37289857864379883
158,50,27,10,0.9,1.0,0.1,0.0,9550.710071171716,9648.313462423695,0.03563070297241211,0.09948372840881348
159,50,26,10,0.7,0.7,0.3,0.3,50582.458448959995,50582.45844114154,0.027654647827148438,0.2579915523529053
160,100,110,10,0.8,0.8,0.2,0.2,19434.487673482923,19434.48767400751,0.2832512855529785,3602.8696372509003
161,50,46,10,0.7,0.8,0.3,0.2,13561.272858695034,19354.012057653144,0.048749685287475586,14.274717330932617
162,50,29,10,0.9,0.9,0.1,0.1,42361.109147381125,28827.72091634036,0.0276947021484375,0.1098489761352539
163,50,45,10,0.7,0.7,0.3,0.3,20047.04091107171,20047.040910760843,0.06554627418518066,12.25848126411438
164,50,28,10,1.0,1.0,0.0,0.0,13337.846590304849,13337.846590756515,0.09692525863647461,0.14859437942504883
165,50,50,15,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.26666666666666666,69051.37178294205,65500.80882548052,0.08124470710754395,285.8250904083252
166,50,65,10,0.6,0.6,0.4,0.4,20847.678131916637,15802.09355970538,0.06919002532958984,3602.5958189964294
167,100,50,11,0.9090909090909091,0.9090909090909091,0.09090909090909091,0.09090909090909091,17812.193176130273,17812.193175613058,0.07718539237976074,0.5281953811645508
168,50,44,10,0.7,0.7,0.3,0.3,31171.9259346274,31171.925934571853,0.0628814697265625,6.01354455947876
169,50,68,10,0.7,1.0,0.3,0.0,182543.85002561627,74049.90485789663,0.1053917407989502,3601.7350487709045
170,100,75,10,0.6,0.6,0.4,0.4,12149.00490899209,12149.004908983334,0.12770676612854004,47.56958818435669
171,50,63,10,0.7,0.6,0.3,0.4,41273.842136600964,78865.90611817768,0.06422924995422363,3601.42711186409
172,100,50,18,0.7222222222222222,0.7222222222222222,0.2777777777777778,0.2777777777777778,23852.834817759864,23852.83482058303,0.1662740707397461,29.146315336227417
173,100,20,10,0.8,0.8,0.2,0.2,12413.087489537606,12413.087489537862,0.02487039566040039,0.03318643569946289
174,50,50,17,0.5882352941176471,0.47058823529411764,0.4117647058823529,0.5294117647058824,123441.42368621359,169597.76456020406,0.09314942359924316,853.1856372356415
175,100,50,13,0.7692307692307693,0.7692307692307693,0.23076923076923078,0.23076923076923078,24496.955671680193,24496.955667720697,0.09108662605285645,2.179723024368286
176,100,50,14,0.7857142857142857,0.8571428571428571,0.21428571428571427,0.14285714285714285,27879.317130021565,21152.954564610376,0.10428619384765625,0.6770262718200684
177,100,35,10,0.8,0.8,0.2,0.2,5280.559361009442,5280.5593610505675,0.052103281021118164,0.3381030559539795
