,method,n,time,accuracy
0,autodiff,100,1.4385714530944824,0.4
1,autodiff,100,1.3751096725463867,0.25
2,autodiff,100,3.6156299114227295,0.35
3,autodiff,100,1.7087562084197998,0.35
4,autodiff,100,1.6118521690368652,0.3
5,autodiff,100,3.770456552505493,0.2
6,autodiff,100,1.1414334774017334,0.3
7,autodiff,100,4.46734881401062,0.35
8,autodiff,100,3.016108989715576,0.25
9,autodiff,100,1.0308055877685547,0.25
10,autodiff,120,3.693571090698242,0.4
11,autodiff,120,3.0381827354431152,0.3
12,autodiff,120,3.6783599853515625,0.4
13,autodiff,120,3.8331661224365234,0.4
14,autodiff,120,4.763107776641846,0.4
15,autodiff,120,4.32289981842041,0.25
16,autodiff,120,3.674292802810669,0.3
17,autodiff,120,2.2616257667541504,0.4
18,autodiff,120,2.031824827194214,0.25
19,autodiff,120,1.6175272464752197,0.45
20,autodiff,140,1.4486029148101807,0.45
21,autodiff,140,4.583712339401245,0.45
22,autodiff,140,5.657536268234253,0.4
23,autodiff,140,5.486931800842285,0.35
24,autodiff,140,4.134209156036377,0.45
25,autodiff,140,7.074544906616211,0.35
26,autodiff,140,6.798243999481201,0.55
27,autodiff,140,4.635141134262085,0.5
28,autodiff,140,6.07319712638855,0.4
29,autodiff,140,1.7451472282409668,0.45
30,autodiff,160,6.773096799850464,0.5
31,autodiff,160,1.841459035873413,0.55
32,autodiff,160,5.633562088012695,0.4
33,autodiff,160,5.918201684951782,0.65
34,autodiff,160,5.561304330825806,0.5
35,autodiff,160,5.900844573974609,0.55
36,autodiff,160,5.013660430908203,0.6
37,autodiff,160,6.425430536270142,0.5
38,autodiff,160,5.6356096267700195,0.55
39,autodiff,160,6.492094039916992,0.5
40,autodiff,180,5.5360352993011475,0.65
41,autodiff,180,6.662747621536255,0.55
42,autodiff,180,6.524075031280518,0.7
43,autodiff,180,8.985065937042236,0.7
44,autodiff,180,5.7694525718688965,0.6
45,autodiff,180,6.702849388122559,0.55
46,autodiff,180,7.574947834014893,0.7
47,autodiff,180,7.565499544143677,0.55
48,autodiff,180,6.757627964019775,0.6
49,autodiff,180,5.742300987243652,0.55
50,autodiff,200,7.918955326080322,0.65
51,autodiff,200,7.476855993270874,0.7
52,autodiff,200,8.507544994354248,0.55
53,autodiff,200,6.269676446914673,0.7
54,autodiff,200,10.85464358329773,0.65
55,autodiff,200,7.715514898300171,0.55
56,autodiff,200,7.3377745151519775,0.55
57,autodiff,200,9.90998387336731,0.55
58,autodiff,200,9.871676683425903,0.5
59,autodiff,200,10.465318202972412,0.7
60,autodiff,220,11.745252132415771,0.7
61,autodiff,220,15.478689908981323,0.8
62,autodiff,220,10.320808172225952,0.65
63,autodiff,220,6.225673198699951,0.75
64,autodiff,220,6.018341302871704,0.75
65,autodiff,220,8.371858835220337,0.65
66,autodiff,220,6.373398303985596,0.7
67,autodiff,220,11.482916831970215,0.6
68,autodiff,220,9.026185989379883,0.65
69,autodiff,220,8.557188987731934,0.7
70,autodiff,240,7.132359266281128,0.9
71,autodiff,240,6.593661069869995,0.65
72,autodiff,240,10.906225442886353,0.65
73,autodiff,240,10.832042932510376,0.8
74,autodiff,240,9.855830430984497,0.7
75,autodiff,240,14.925164699554443,0.8
76,autodiff,240,9.475828647613525,0.55
77,autodiff,240,11.281423330307007,0.7
78,autodiff,240,8.487795352935791,0.65
79,autodiff,240,10.449559450149536,0.9
80,autodiff,260,12.832266569137573,0.75
81,autodiff,260,10.273826122283936,0.8
82,autodiff,260,9.126529455184937,0.75
83,autodiff,260,8.68375825881958,0.65
84,autodiff,260,11.866981983184814,0.7
85,autodiff,260,11.66361403465271,0.6
86,autodiff,260,12.079851388931274,0.8
87,autodiff,260,11.91553521156311,0.8
88,autodiff,260,10.172362089157104,0.75
89,autodiff,260,19.239645957946777,0.85
90,autodiff,280,12.417801141738892,0.85
91,autodiff,280,11.611125469207764,0.9
92,autodiff,280,8.66333556175232,0.8
93,autodiff,280,13.031335353851318,0.75
94,autodiff,280,16.829514503479004,0.75
95,autodiff,280,13.837680339813232,0.75
96,autodiff,280,12.374726057052612,0.8
97,autodiff,280,18.93917179107666,0.75
98,autodiff,280,21.50548815727234,0.95
99,autodiff,280,16.1810085773468,0.85
100,autodiff,300,11.404075860977173,0.8
101,autodiff,300,16.89401388168335,0.85
102,autodiff,300,12.779180526733398,0.95
103,autodiff,300,11.66952896118164,0.8
104,autodiff,300,16.337535858154297,0.85
105,autodiff,300,13.92558741569519,0.8
106,autodiff,300,13.23586130142212,0.7
107,autodiff,300,11.008888483047485,0.9
108,autodiff,300,19.643140077590942,0.9
109,autodiff,300,7.928730487823486,0.75
110,autodiff,320,21.936607837677002,0.95
111,autodiff,320,15.444710493087769,0.85
112,autodiff,320,24.688875913619995,0.95
113,autodiff,320,14.186392307281494,0.85
114,autodiff,320,11.508665084838867,0.95
115,autodiff,320,17.385896682739258,0.9
116,autodiff,320,19.62857723236084,0.85
117,autodiff,320,23.884117603302002,0.8
118,autodiff,320,14.096396446228027,0.85
119,autodiff,320,11.29907488822937,0.85
120,autodiff,340,25.12029528617859,0.95
121,autodiff,340,12.223416805267334,0.85
122,autodiff,340,23.723591327667236,0.9
123,autodiff,340,15.992841005325317,0.85
124,autodiff,340,15.608413219451904,0.95
125,autodiff,340,20.76884174346924,0.95
126,autodiff,340,22.67811894416809,1.0
127,autodiff,340,15.909674882888794,0.85
128,autodiff,340,16.113730907440186,0.8
129,autodiff,340,13.590071678161621,0.9
130,autodiff,360,8.96132755279541,0.9
131,autodiff,360,15.791401863098145,0.8
132,autodiff,360,13.19494342803955,0.9
133,autodiff,360,13.402062177658081,0.9
134,autodiff,360,16.854275226593018,0.65
135,autodiff,360,12.427052021026611,0.95
136,autodiff,360,20.831401348114014,0.95
137,autodiff,360,11.447292804718018,1.0
138,autodiff,360,17.488179922103882,0.85
139,autodiff,360,13.29953145980835,0.8
140,autodiff,380,12.526034593582153,0.85
141,autodiff,380,11.53852891921997,0.95
142,autodiff,380,23.238102674484253,1.0
143,autodiff,380,10.527408361434937,0.9
144,autodiff,380,23.2509663105011,1.0
145,autodiff,380,13.382820844650269,0.95
146,autodiff,380,23.576663494110107,1.0
147,autodiff,380,16.89881467819214,0.95
148,autodiff,380,16.702985048294067,0.8
149,autodiff,380,14.43250560760498,0.75
150,autodiff,400,28.525904893875122,0.8
151,autodiff,400,24.257962703704834,1.0
152,autodiff,400,12.033710718154907,0.75
153,autodiff,400,23.088996410369873,0.75
154,autodiff,400,15.799588918685913,1.0
155,autodiff,400,15.349264144897461,0.85
156,autodiff,400,24.375298023223877,0.95
157,autodiff,400,16.222083806991577,1.0
158,autodiff,400,23.26582407951355,1.0
159,autodiff,400,10.701475620269775,0.9
160,autodiff,420,22.1260986328125,0.95
161,autodiff,420,27.396138668060303,1.0
162,autodiff,420,13.926050662994385,0.9
163,autodiff,420,27.87037205696106,0.95
164,autodiff,420,25.004903078079224,0.85
165,autodiff,420,23.358850240707397,0.95
166,autodiff,420,11.515501737594604,0.9
167,autodiff,420,18.612220525741577,1.0
168,autodiff,420,17.092896223068237,1.0
169,autodiff,420,16.151488542556763,0.9
170,autodiff,440,32.814643144607544,0.95
171,autodiff,440,28.538427114486694,1.0
172,autodiff,440,23.718843936920166,1.0
173,autodiff,440,36.19760990142822,0.95
174,autodiff,440,20.737592458724976,0.9
175,autodiff,440,23.58619999885559,1.0
176,autodiff,440,15.579527616500854,0.95
177,autodiff,440,18.163565158843994,0.8
178,autodiff,440,19.692365884780884,1.0
179,autodiff,440,15.340076208114624,0.95
180,autodiff,460,27.856528997421265,0.95
181,autodiff,460,15.43678593635559,0.95
182,autodiff,460,13.540625095367432,1.0
183,autodiff,460,17.947729349136353,0.95
184,autodiff,460,27.313671112060547,0.95
185,autodiff,460,30.676063060760498,0.9
186,autodiff,460,18.619606971740723,0.85
187,autodiff,460,28.12443971633911,1.0
188,autodiff,460,19.4904305934906,0.95
189,autodiff,460,24.154366493225098,1.0
190,autodiff,480,19.612276792526245,0.9
191,autodiff,480,17.305638790130615,0.95
192,autodiff,480,24.916742086410522,1.0
193,autodiff,480,31.61822485923767,0.95
194,autodiff,480,29.00144100189209,1.0
195,autodiff,480,25.94979763031006,1.0
196,autodiff,480,12.486313104629517,0.95
197,autodiff,480,30.602951765060425,1.0
198,autodiff,480,34.86229467391968,1.0
199,autodiff,480,15.793768405914307,1.0
200,autodiff,500,28.82003688812256,1.0
201,autodiff,500,25.625995635986328,1.0
202,autodiff,500,25.066394329071045,0.95
203,autodiff,500,26.161577939987183,1.0
204,autodiff,500,22.2171311378479,1.0
205,autodiff,500,20.21875286102295,0.85
206,autodiff,500,34.72453260421753,1.0
207,autodiff,500,31.44327163696289,1.0
208,autodiff,500,24.9751193523407,1.0
209,autodiff,500,28.200114011764526,0.95
210,autodiff,520,31.477089881896973,1.0
211,autodiff,520,29.10981321334839,0.95
212,autodiff,520,32.342061281204224,0.95
213,autodiff,520,27.79802131652832,1.0
214,autodiff,520,32.05223751068115,1.0
215,autodiff,520,26.01837730407715,1.0
216,autodiff,520,19.06761646270752,1.0
217,autodiff,520,28.268921375274658,1.0
218,autodiff,520,19.761878728866577,1.0
219,autodiff,520,29.033472299575806,1.0
220,autodiff,540,16.44000267982483,0.95
221,autodiff,540,19.964163780212402,0.95
222,autodiff,540,31.745527744293213,1.0
223,autodiff,540,18.60778570175171,0.9
224,autodiff,540,33.3630313873291,1.0
225,autodiff,540,18.5379536151886,0.95
226,autodiff,540,27.74347186088562,1.0
227,autodiff,540,32.55109977722168,1.0
228,autodiff,540,25.2530620098114,1.0
229,autodiff,540,18.91243004798889,0.95
230,autodiff,560,17.884525775909424,0.95
231,autodiff,560,19.019683837890625,0.95
232,autodiff,560,31.76412868499756,1.0
233,autodiff,560,27.789676666259766,1.0
234,autodiff,560,31.966660499572754,1.0
235,autodiff,560,18.30396056175232,1.0
236,autodiff,560,18.94746685028076,1.0
237,autodiff,560,39.159372329711914,0.95
238,autodiff,560,18.705255270004272,1.0
239,autodiff,560,30.401912450790405,1.0
240,autodiff,580,20.327677488327026,1.0
241,autodiff,580,19.98686456680298,0.9
242,autodiff,580,36.56877017021179,1.0
243,autodiff,580,27.96709632873535,1.0
244,autodiff,580,30.671323776245117,1.0
245,autodiff,580,30.764193058013916,1.0
246,autodiff,580,32.61155414581299,1.0
247,autodiff,580,20.813579082489014,1.0
248,autodiff,580,31.69143581390381,1.0
249,autodiff,580,29.008259773254395,1.0
0,abess,100,0.00597381591796875,0.25
1,abess,100,0.006196737289428711,0.2
2,abess,100,0.008811712265014648,0.35
3,abess,100,0.007904291152954102,0.45
4,abess,100,0.007215023040771484,0.3
5,abess,100,0.008960962295532227,0.25
6,abess,100,0.007536411285400391,0.2
7,abess,100,0.007040262222290039,0.35
8,abess,100,0.008327960968017578,0.4
9,abess,100,0.006433963775634766,0.3
10,abess,120,0.012946128845214844,0.4
11,abess,120,0.006835222244262695,0.4
12,abess,120,0.010076045989990234,0.4
13,abess,120,0.0073888301849365234,0.4
14,abess,120,0.007669210433959961,0.35
15,abess,120,0.012470245361328125,0.3
16,abess,120,0.009262323379516602,0.35
17,abess,120,0.007094860076904297,0.4
18,abess,120,0.0072667598724365234,0.4
19,abess,120,0.006035804748535156,0.5
20,abess,140,0.008902549743652344,0.55
21,abess,140,0.00901651382446289,0.45
22,abess,140,0.009283304214477539,0.4
23,abess,140,0.0161135196685791,0.4
24,abess,140,0.007645606994628906,0.45
25,abess,140,0.008069276809692383,0.4
26,abess,140,0.00814056396484375,0.6
27,abess,140,0.008161544799804688,0.55
28,abess,140,0.009281158447265625,0.4
29,abess,140,0.008193731307983398,0.45
30,abess,160,0.0073277950286865234,0.5
31,abess,160,0.009284257888793945,0.45
32,abess,160,0.009656906127929688,0.55
33,abess,160,0.011328697204589844,0.6
34,abess,160,0.008853435516357422,0.4
35,abess,160,0.010596752166748047,0.5
36,abess,160,0.008492231369018555,0.6
37,abess,160,0.009040594100952148,0.5
38,abess,160,0.009565353393554688,0.55
39,abess,160,0.007407188415527344,0.5
40,abess,180,0.012722492218017578,0.7
41,abess,180,0.009263992309570312,0.6
42,abess,180,0.013002634048461914,0.75
43,abess,180,0.013196468353271484,0.75
44,abess,180,0.012589693069458008,0.65
45,abess,180,0.010770082473754883,0.55
46,abess,180,0.009649991989135742,0.65
47,abess,180,0.009701967239379883,0.6
48,abess,180,0.010779619216918945,0.55
49,abess,180,0.011072874069213867,0.5
50,abess,200,0.01116943359375,0.75
51,abess,200,0.00990152359008789,0.7
52,abess,200,0.008869409561157227,0.5
53,abess,200,0.011797904968261719,0.65
54,abess,200,0.009110212326049805,0.65
55,abess,200,0.014703989028930664,0.65
56,abess,200,0.008997917175292969,0.55
57,abess,200,0.009485721588134766,0.55
58,abess,200,0.010619163513183594,0.5
59,abess,200,0.010098457336425781,0.7
60,abess,220,0.011948347091674805,0.7
61,abess,220,0.018032550811767578,0.85
62,abess,220,0.011418342590332031,0.65
63,abess,220,0.011641263961791992,0.8
64,abess,220,0.016098737716674805,0.8
65,abess,220,0.011237621307373047,0.6
66,abess,220,0.008393049240112305,0.7
67,abess,220,0.010083675384521484,0.6
68,abess,220,0.00967860221862793,0.65
69,abess,220,0.010728120803833008,0.7
70,abess,240,0.0094451904296875,0.9
71,abess,240,0.011200904846191406,0.75
72,abess,240,0.01399540901184082,0.7
73,abess,240,0.01237344741821289,0.8
74,abess,240,0.008985042572021484,0.7
75,abess,240,0.009730100631713867,0.75
76,abess,240,0.01084756851196289,0.55
77,abess,240,0.01192784309387207,0.75
78,abess,240,0.009485483169555664,0.7
79,abess,240,0.014093875885009766,0.95
80,abess,260,0.011812925338745117,0.8
81,abess,260,0.013275384902954102,0.75
82,abess,260,0.009711265563964844,0.8
83,abess,260,0.0204010009765625,0.8
84,abess,260,0.01250004768371582,0.75
85,abess,260,0.013384103775024414,0.65
86,abess,260,0.010917425155639648,0.75
87,abess,260,0.009760379791259766,0.8
88,abess,260,0.010107278823852539,0.75
89,abess,260,0.0160677433013916,0.85
90,abess,280,0.013555526733398438,0.9
91,abess,280,0.012033224105834961,0.9
92,abess,280,0.008994102478027344,0.8
93,abess,280,0.011784791946411133,0.75
94,abess,280,0.01118612289428711,0.75
95,abess,280,0.014246463775634766,0.75
96,abess,280,0.026419639587402344,0.9
97,abess,280,0.015513896942138672,0.7
98,abess,280,0.014818668365478516,0.95
99,abess,280,0.012184619903564453,0.85
100,abess,300,0.01420736312866211,0.85
101,abess,300,0.014111518859863281,0.85
102,abess,300,0.01610112190246582,0.95
103,abess,300,0.012418270111083984,0.85
104,abess,300,0.01426076889038086,0.85
105,abess,300,0.0138702392578125,0.8
106,abess,300,0.011156558990478516,0.75
107,abess,300,0.013587713241577148,0.9
108,abess,300,0.014897584915161133,0.8
109,abess,300,0.015797138214111328,0.8
110,abess,320,0.017138957977294922,1.0
111,abess,320,0.018295764923095703,0.9
112,abess,320,0.018917083740234375,1.0
113,abess,320,0.013607978820800781,0.95
114,abess,320,0.01134181022644043,0.95
115,abess,320,0.012733697891235352,0.9
116,abess,320,0.017111539840698242,0.85
117,abess,320,0.01901412010192871,0.8
118,abess,320,0.012761116027832031,0.85
119,abess,320,0.01139688491821289,0.95
120,abess,340,0.020458698272705078,0.95
121,abess,340,0.019539594650268555,0.85
122,abess,340,0.018254995346069336,0.95
123,abess,340,0.014130115509033203,0.85
124,abess,340,0.013986349105834961,0.95
125,abess,340,0.01586604118347168,0.95
126,abess,340,0.018007993698120117,1.0
127,abess,340,0.02162027359008789,0.9
128,abess,340,0.014773845672607422,0.8
129,abess,340,0.015546321868896484,0.95
130,abess,360,0.013446807861328125,0.9
131,abess,360,0.013927221298217773,0.75
132,abess,360,0.016871929168701172,0.95
133,abess,360,0.014271736145019531,0.95
134,abess,360,0.014859199523925781,0.65
135,abess,360,0.011451005935668945,0.95
136,abess,360,0.017759323120117188,0.95
137,abess,360,0.010528564453125,1.0
138,abess,360,0.014138221740722656,0.8
139,abess,360,0.016138553619384766,0.85
140,abess,380,0.014805793762207031,0.9
141,abess,380,0.011318683624267578,0.95
142,abess,380,0.015427350997924805,1.0
143,abess,380,0.025157928466796875,0.9
144,abess,380,0.018355607986450195,1.0
145,abess,380,0.016265392303466797,0.95
146,abess,380,0.016705751419067383,1.0
147,abess,380,0.012850522994995117,0.95
148,abess,380,0.014216423034667969,0.85
149,abess,380,0.01576399803161621,0.8
150,abess,400,0.023271799087524414,0.9
151,abess,400,0.018857955932617188,1.0
152,abess,400,0.01263117790222168,0.7
153,abess,400,0.028261423110961914,0.8
154,abess,400,0.011591672897338867,1.0
155,abess,400,0.017017602920532227,0.85
156,abess,400,0.015546083450317383,1.0
157,abess,400,0.012897729873657227,1.0
158,abess,400,0.01627349853515625,1.0
159,abess,400,0.024697542190551758,0.9
160,abess,420,0.016952037811279297,0.95
161,abess,420,0.019772052764892578,1.0
162,abess,420,0.023113012313842773,1.0
163,abess,420,0.0208740234375,0.9
164,abess,420,0.01751708984375,0.85
165,abess,420,0.018362760543823242,1.0
166,abess,420,0.016666412353515625,0.9
167,abess,420,0.014980077743530273,1.0
168,abess,420,0.015483856201171875,1.0
169,abess,420,0.012067079544067383,0.9
170,abess,440,0.024088144302368164,0.95
171,abess,440,0.014382600784301758,0.95
172,abess,440,0.01840066909790039,1.0
173,abess,440,0.02428412437438965,0.95
174,abess,440,0.021555423736572266,0.95
175,abess,440,0.016293764114379883,1.0
176,abess,440,0.01817011833190918,1.0
177,abess,440,0.020425796508789062,0.9
178,abess,440,0.013365507125854492,1.0
179,abess,440,0.01670241355895996,1.0
180,abess,460,0.01906418800354004,1.0
181,abess,460,0.019000530242919922,0.95
182,abess,460,0.014069795608520508,1.0
183,abess,460,0.018726587295532227,0.95
184,abess,460,0.02013230323791504,0.95
185,abess,460,0.02087116241455078,0.9
186,abess,460,0.02109527587890625,1.0
187,abess,460,0.01891946792602539,1.0
188,abess,460,0.01442265510559082,0.95
189,abess,460,0.017752647399902344,1.0
190,abess,480,0.020776987075805664,0.95
191,abess,480,0.01442718505859375,1.0
192,abess,480,0.018993377685546875,1.0
193,abess,480,0.023279666900634766,0.8
194,abess,480,0.019463300704956055,1.0
195,abess,480,0.017478227615356445,1.0
196,abess,480,0.018896102905273438,0.95
197,abess,480,0.020949363708496094,0.95
198,abess,480,0.023718833923339844,1.0
199,abess,480,0.01478123664855957,1.0
200,abess,500,0.02025628089904785,1.0
201,abess,500,0.01954054832458496,1.0
202,abess,500,0.020893096923828125,0.95
203,abess,500,0.01851487159729004,1.0
204,abess,500,0.015278339385986328,1.0
205,abess,500,0.025064706802368164,0.95
206,abess,500,0.021636486053466797,1.0
207,abess,500,0.020754575729370117,1.0
208,abess,500,0.018052339553833008,1.0
209,abess,500,0.0210723876953125,0.95
210,abess,520,0.024327516555786133,1.0
211,abess,520,0.019881486892700195,0.95
212,abess,520,0.024184226989746094,0.95
213,abess,520,0.01787424087524414,1.0
214,abess,520,0.02445054054260254,1.0
215,abess,520,0.016900300979614258,1.0
216,abess,520,0.014744281768798828,1.0
217,abess,520,0.01760411262512207,1.0
218,abess,520,0.01379251480102539,1.0
219,abess,520,0.02092146873474121,1.0
220,abess,540,0.020087718963623047,0.95
221,abess,540,0.0151214599609375,0.95
222,abess,540,0.022011280059814453,0.95
223,abess,540,0.014436483383178711,0.9
224,abess,540,0.02378368377685547,1.0
225,abess,540,0.013921022415161133,0.95
226,abess,540,0.019939184188842773,1.0
227,abess,540,0.022084951400756836,1.0
228,abess,540,0.018807649612426758,1.0
229,abess,540,0.014899492263793945,1.0
230,abess,560,0.016764402389526367,0.95
231,abess,560,0.017802953720092773,0.95
232,abess,560,0.022183895111083984,1.0
233,abess,560,0.019863128662109375,1.0
234,abess,560,0.02247333526611328,1.0
235,abess,560,0.014302492141723633,1.0
236,abess,560,0.015556097030639648,1.0
237,abess,560,0.022848844528198242,1.0
238,abess,560,0.015418767929077148,1.0
239,abess,560,0.02196335792541504,1.0
240,abess,580,0.016859769821166992,1.0
241,abess,580,0.024621248245239258,1.0
242,abess,580,0.02479267120361328,1.0
243,abess,580,0.020062685012817383,1.0
244,abess,580,0.02070927619934082,1.0
245,abess,580,0.022745132446289062,1.0
246,abess,580,0.018716812133789062,1.0
247,abess,580,0.017066001892089844,1.0
248,abess,580,0.021715641021728516,1.0
249,abess,580,0.02167487144470215,1.0
